"Release","Issues","Labels","Message","Sha"
"18.2.704.0","373","ExcelImporter","Excelimporter: Support Deffered deletions","79bf159c22fe557fc2e0b246daaba82e6c0b4c1a"
"18.2.704.0","373","ExcelImporter","Declare signals for BeginImprort and CustomTargetObject","212d16e53af6df0f357d2e60ef8eb511ee5f0dc5"
"18.2.704.0","372, 370, 367","Standalone_XAF_Modules, SuppressConfirmation, AutoCommit, Standalone_XAF_Modules, MasterDetail, Standalone_XAF_Modules","Integrated MasterDetail, Autocommit, SupressConfirmation","c01bd70b656685380016699c01183dc805568d2e"
"18.2.704.0","363","XtraDashboard","XtraDashboard: DashoardName is not localized","8a13613a949b63657bf3345894bdfa76b6dae339"
"18.2.704.0","364","Standalone_XAF_Modules, VersionConverter","Update Nugets packages","2af2948ee52d8a26fb8d6fafa13d26110f9591c5"
"18.2.704.0","361","System","Correct spelling","d41b141c6384fe86be06d68ce1d27c50e7249c60"
"18.2.704.0","356","Standalone_XAF_Modules, ViewEditMode","Install ViewEditModeModule","2365926922ec1277e48354387cbd22e3198a832f"
"18.2.704.0","359","Standalone_XAF_Modules","Update Nuget packages","5fa4112ac10ea9201e6ff4e814733c4511036dbc"
"18.2.704.0","356","Standalone_XAF_Modules, ViewEditMode","Remove ViewEditModeController","a19d8ec7c95b2a7399f2f0c4cde93095894f4773"
"18.2.704.0","361","System","ViewShortCutProccesor: remove XPO dependency","7248e228f315566252679c853228967a47151438"
"18.2.704.0","354","Shared","MultiValueDictionary internal HashSet is not threadsafe","575710461f07aabb32205722be26049a647d6d98"
"18.2.704.0","354","Shared","Make MultiValueDictionary to support 19.1 async loading","8838df6c258be424feb46f721c7f9a1e2a983df9"
"18.2.704.0","352","ExcelImporter","ExcelImport: Wrong exception message when validating column mapping","bc683d150b840430217608c37c3fa6210db60435"
"18.2.704.0","345","CloneMemberValue, Standalone_XAF_Modules, System","Removes CloneMemberValueViewController, use Xpand.XAF.Modules.CloneMemberValue package","33c8272f82f99f7c4fa0ea28f031fc1bff179570"
"18.2.704.0","344","System.Win","EnumPropertyEditor throws when flags are used","7cf3b82676bbb6ad60fad73d14adf696e7c6e88b"
"18.2.704.0","347","VSIX","VSIX-> VS Freeze when registering ToolboxItems","788babc9601fb463560990c3f46d91db46ee16d3"
"19.1.201.0","387","CloneMemberValue, Standalone_XAF_Modules","Install CloneMemberValue in system module","7ca9f737af10008ce61e88b8115e8182d13dc9f9"
"19.1.201.0","363","XtraDashboard","Force only one DashboardObjectDataSource","f653e4d5620d3e6db30d25a5a2816eb9d4bfb597"
"19.1.201.0","363","XtraDashboard","Support IAppearenceEnabled for ChooseFromListCollectionEditor","cb7fda23860aa54764ec71970c1dfa1157cd7ade"
"19.1.201.0","363","XtraDashboard","Dashboard: DisableMultiDashboardTypeController","0f1841fb1bbc4de50b06553f362e6bd58f0af31e"
"19.1.201.0","380","Standalone_XAF_Modules, VersionConverter","Update Standalone nugets","e53afc6e0a41ed3f2be5fffbcd7e4c79a56062f9"
"19.1.201.0","394, 391","Standalone_XAF_Modules, ExcelImporter, MasterDetail, Standalone_XAF_Modules","Update Standalone nugets","bc1fb84affe1b0285eba429cac582ccd5d74a3da"
"19.1.201.0","391","ExcelImporter, MasterDetail, Standalone_XAF_Modules","ExcelImporter: Fix broken layout, display map grid in the main view and handle different the masterdetail synchronization per platform","dcd21041d623b2b5e4d7d1d8a2f69599bdd71ee4"
"19.1.201.0","379","ExcelImporter","Excel ColumnMap Regex column throws","cf5eba2b515fd0816048c7b85935cb5902b2a1ed"
"19.1.201.0","380","Standalone_XAF_Modules, VersionConverter","Update Xpand.XAF.Modules","0d8323bddc69e01ea0d5371311cd93c817a41be3"
"19.1.201.0","379","ExcelImporter","ExcelImport: Add Column to display the Regex replacement for easy test in the UI","0ed6ce214696a9a9128ecd5de086785364614643"
"19.1.201.0","386","CloneModelView, Standalone_XAF_Modules","Integrate CloneModelView","1a46c43fdb421d4d2bfb31d4e76b7e50563d3bf0"
"19.1.201.0","380","Standalone_XAF_Modules, VersionConverter","Update XAF modules nugets","cec08edc5a3ae45a19d065dfe59d6f5b655a54ab"
"19.1.201.0","378","ExcelImporter","Excel Importer - Win - Toast notification appears twice","810b7ddb6ad05132cfefeef4c1e202b570df3b13"
